user_agent;uv;pv;pv_per_uv
"mozilla/5.0 (iphone; cpu iphone os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d201 safari/9537.53";10528;168673;16.02
"mozilla/5.0 (iphone; cpu iphone os 7_1_1 like mac os x; zh-cn) applewebkit/537.51.1 (khtml, like gecko) mobile/11d201 ucbrowser/9.6.7.431 mobile";8083;195030;24.13
"mozilla/5.0 (iphone; cpu iphone os 6_1_4 like mac os x) applewebkit/536.26 (khtml, like gecko) version/6.0 mobile/10b350 safari/8536.25";8202;38642;4.71
"mozilla/5.0 (ipod; cpu iphone os 6_1_3 like mac os x) applewebkit/536.26 (khtml, like gecko) version/6.0 mobile/10b329 safari/8536.25";9914;32903;3.32
"mozilla/5.0 (linux; u; android 4.3.0; zh-cn; huawei  g610-t11 build/jdq39) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30; 360browser(securitypay,securityinstalled); 360(android,uppayplugin); 360 aphone browser (5.4.1)";8192;24226;2.96
"mozilla/5.0 (iphone; cpu iphone os 6_1_3 like mac os x; zh-cn) applewebkit/536.26 (khtml, like gecko) mobile/10b329 ucbrowser/9.0.1.284 mobile";7203;178042;24.72
"mozilla/5.0 (linux; u; android 2.2; fr-fr; desire_a8181 build/frf91) app3lewebkit/53.1 (khtml, like gecko) version/4.0 mobile safari/533.1";7193;23056;3.21
"mozilla/5.0 (ipod; cpu iphone os 6_1_3 like mac os x) applewebkit/536.26 (khtml, like gecko) version/6.0 mobile/10b329 safari/8536.25";7184;26460;3.68
"mozilla/5.0 (iphone; cpu iphone os 7_1_1 like mac os x; zh-cn) applewebkit/537.51.1 (khtml, like gecko) mobile/11d201 ucbrowser/9.6.7.431 mobile";7146;168596;23.59
"mozilla/5.0 (linux; u; android 2.2; fr-fr; desire_a8181 build/frf91) app3lewebkit/53.1 (khtml, like gecko) version/4.0 mobile safari/533.1";6978;21853;3.13
"mozilla/5.0 (iphone; cpu iphone os 7_1_1 like mac os x; zh-cn) applewebkit/537.51.1 (khtml, like gecko) mobile/11d201 ucbrowser/9.6.7.431 mobile";6353;148382;23.36
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2s build/jro03l) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";6073;165211;27.20
"mozilla/5.0 (linux; u; android 4.2.1; zh-cn; 2013022 build/hm2013022) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";4979;232014;46.60
"mozilla/5.0 (iphone; cpu iphone os 6_1_4 like mac os x) applewebkit/536.26 (khtml, like gecko) version/6.0 mobile/10b350 safari/8536.25";5998;31680;5.28
"mozilla/5.0 (iphone; cpu iphone os 7_1_1 like mac os x; zh-cn) applewebkit/537.51.1 (khtml, like gecko) mobile/11d201 ucbrowser/9.6.7.431 mobile";5951;142703;23.98
"mozilla/5.0 (iphone; cpu iphone os 7_1_1 like mac os x; zh-cn) applewebkit/537.51.1 (khtml, like gecko) mobile/11d201 ucbrowser/9.6.7.431 mobile";5304;118701;22.38
"mozilla/5.0 (iphone; cpu iphone os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";5208;85575;16.43
"mozilla/5.0 (iphone; cpu iphone os 6_1_3 like mac os x) applewebkit/536.26 (khtml, like gecko) version/6.0 mobile/10b329 safari/8536.25";5052;133180;26.36
"mozilla/5.0 (iphone; cpu iphone os 7_1_1 like mac os x; zh-cn) applewebkit/537.51.1 (khtml, like gecko) mobile/11d201 ucbrowser/9.6.7.431 mobile";5041;112220;22.26
"mozilla/5.0 (iphone; cpu iphone os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";4944;79629;16.11
"mozilla/5.0 (iphone; cpu iphone os 7_1_1 like mac os x; zh-cn) applewebkit/537.51.1 (khtml, like gecko) mobile/11d201 ucbrowser/9.6.7.431 mobile";4723;104157;22.05
"mozilla/5.0 (iphone; cpu iphone os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";4635;81279;17.54
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d201 safari/9537.53";4608;89167;19.35
"mozilla/5.0 (iphone; cpu iphone os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";4592;69986;15.24
"mozilla/5.0 (iphone; cpu iphone os 7_1_1 like mac os x; zh-cn) applewebkit/537.51.1 (khtml, like gecko) mobile/11d201 ucbrowser/9.6.7.431 mobile";4570;101458;22.20
"mozilla/5.0 (iphone; cpu iphone os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";4504;75245;16.71
"mozilla/5.0 (iphone; cpu iphone os 7_0_4 like mac os x) applewebkit/537.51.1 (khtml, like gecko) version/7.0 mobile/11b554a safari/9537.53";4471;81519;18.23
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d201 safari/9537.53";4310;86709;20.12
"mozilla/5.0 (iphone; cpu iphone os 7_1_1 like mac os x; zh-cn) applewebkit/537.51.1 (khtml, like gecko) mobile/11d201 ucbrowser/9.6.7.431 mobile";4149;93223;22.47
"mozilla/5.0 (iphone; cpu iphone os 7_1_1 like mac os x) applewebkit/536.26 (khtml, like gecko zh-cn) version/6.0 mobile/10b146 safari/8536.25";4078;95163;23.34
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d201 safari/9537.53";4034;80744;20.02
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d201 safari/9537.53";3973;80261;20.20
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d201 safari/9537.53";3962;80887;20.42
"mozilla/5.0 (iphone; cpu iphone os 7_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d167 safari/9537.53";3886;60707;15.62
"mozilla/5.0 (iphone; cpu iphone os 7_1_1 like mac os x; zh-cn) applewebkit/537.51.1 (khtml, like gecko) mobile/11d201 ucbrowser/9.6.7.431 mobile";3845;79013;20.55
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d201 safari/9537.53";3841;73815;19.22
"mozilla/5.0 (linux; u; android 4.2.2; zh-cn; galaxy nexus build/jdq39) applewebkit/534.30 (khtml, like gecko) version/5.0 mb2345browser/4.0 mobile safari/534.30";3801;68685;18.07
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d201 safari/9537.53";3799;78803;20.74
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d201 safari/9537.53";3755;64284;17.12
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2sc build/jro03l) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3749;102818;27.43
"mozilla/5.0 (iphone; cpu iphone os 7_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d167 safari/9537.53";3683;57736;15.68
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2sc build/jro03l) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3610;97568;27.03
"mozilla/5.0 (iphone; cpu iphone os 7_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d167 safari/9537.53";3584;57564;16.06
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d201 safari/9537.53";3583;68035;18.99
"mozilla/5.0 (iphone; cpu iphone os 7_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d167 safari/9537.53";3553;55992;15.76
"mozilla/5.0 (linux; u; android 4.2.2; zh-cn; galaxy nexus build/jdq39) applewebkit/534.30 (khtml, like gecko) version/5.0 mb2345browser/4.0 mobile safari/534.30";3536;64782;18.32
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2sc build/jro03l) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3533;100254;28.38
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2sc build/jro03l) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3529;99453;28.18
"mozilla/5.0 (linux; u; android 4.2.1; zh-cn; mi 3 build/jop40d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3486;100251;28.76
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2sc build/jro03l) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3485;95041;27.27
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2sc build/jro03l) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3475;101147;29.11
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2sc build/jro03l) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3474;97896;28.18
"mozilla/5.0 (linux; u; android 4.2.1; zh-cn; mi 3 build/jop40d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3457;94580;27.36
"mozilla/5.0 (linux; u; android 4.2.2; zh-cn; 2013023 build/hm2013023) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3456;152401;44.10
"mqqbrowser/3.6 (nokia5233;symbianos/9.1 series60/3.0)";3440;24728;7.19
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2sc build/jro03l) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3436;99829;29.05
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d201 safari/9537.53";3433;69211;20.16
"mozilla/5.0 (iphone; cpu iphone os 7_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d167 safari/9537.53";3421;54845;16.03
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d201 safari/9537.53";3419;71056;20.78
"mozilla/5.0 (iphone; cpu iphone os 7_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d167 safari/9537.53";3416;56745;16.61
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d201 safari/9537.53";3400;70344;20.69
"mozilla/5.0 (linux; u; android 4.2.2; zh-cn; galaxy nexus build/jdq39) applewebkit/534.30 (khtml, like gecko) version/5.0 mb2345browser/4.0 mobile safari/534.30";3394;61246;18.05
"mozilla/5.0 (iphone; cpu iphone os 7_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d167 safari/9537.53";3386;53230;15.72
"mozilla/5.0 (linux; u; android 4.2.2; zh-cn; galaxy nexus build/jdq39) applewebkit/534.30 (khtml, like gecko) version/5.0 mb2345browser/4.0 mobile safari/534.30";3382;64255;19.00
"mozilla/5.0 (linux; u; android 4.2.2; zh-cn; galaxy nexus build/jdq39) applewebkit/534.30 (khtml, like gecko) version/5.0 mb2345browser/4.0 mobile safari/534.30";3367;58001;17.23
"mozilla/5.0 (iphone; cpu iphone os 7_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d167 safari/9537.53";3355;52700;15.71
"mozilla/5.0 (linux; u; android 4.2.2; zh-cn; galaxy nexus build/jdq39) applewebkit/534.30 (khtml, like gecko) version/5.0 mb2345browser/4.0 mobile safari/534.30";3351;51982;15.51
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d201 safari/9537.53";3349;63861;19.07
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2sc build/jro03l) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3340;95587;28.62
"mozilla/5.0 (iphone; cpu iphone os 7_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d167 safari/9537.53";3328;51468;15.47
"mozilla/5.0 (iphone; cpu iphone os 7_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d167 safari/9537.53";3305;56046;16.96
"mozilla/5.0 (linux; u; android 4.2.1; zh-cn; mi 3 build/jop40d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3299;99983;30.31
"mozilla/5.0 (linux; u; android 4.2.2; zh-cn; 2013023 build/hm2013023) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3290;155702;47.33
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2sc build/jro03l) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3287;98022;29.82
"mozilla/5.0 (linux; u; android 4.2.1; zh-cn; mi 3 build/jop40d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3286;90921;27.67
"mozilla/5.0 (iphone; cpu iphone os 7_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d167 safari/9537.53";3284;53116;16.17
"mozilla/5.0 (linux; u; android 4.2.1; zh-cn; mi 3 build/jop40d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3270;88379;27.03
"mozilla/5.0 (iphone; cpu iphone os 7_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d167 safari/9537.53";3256;55899;17.17
"mozilla/5.0 (linux; u; android 4.2.2; zh-cn; 2013023 build/hm2013023) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3254;151318;46.50
"mozilla/5.0 (linux; u; android 4.2.2; zh-cn; galaxy nexus build/jdq39) applewebkit/534.30 (khtml, like gecko) version/5.0 mb2345browser/4.0 mobile safari/534.30";3245;54750;16.87
"mozilla/5.0 (linux; u; android 4.2.2; zh-cn; 2013023 build/hm2013023) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3244;157529;48.56
"mozilla/5.0 (iphone; cpu iphone os 7_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d167 safari/9537.53";3239;49133;15.17
"mozilla/5.0 (linux; u; android 4.0.1; zh-cn; mi-one plus build/itl41d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30";3236;72277;22.34
"mozilla/5.0 (linux; u; android 4.2.1; zh-cn; mi 3 build/jop40d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3233;92741;28.69
"mozilla/5.0 (ipad; cpu os 7_1_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d201 safari/9537.53";3221;67331;20.90
"mozilla/5.0 (linux; u; android 4.2.1; zh-cn; mi 3 build/jop40d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3221;93040;28.89
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2sc build/jro03l) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3201;92769;28.98
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2sc build/jro03l) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3199;101619;31.77
"mozilla/5.0 (linux; u; android 4.2.2; zh-cn; 2013023 build/hm2013023) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3196;147384;46.12
"mozilla/5.0 (linux; u; android 4.2.2; zh-cn; galaxy nexus build/jdq39) applewebkit/534.30 (khtml, like gecko) version/5.0 mb2345browser/4.0 mobile safari/534.30";3192;52377;16.41
"mozilla/5.0 (linux; u; android 4.2.2; zh-cn; 2013023 build/hm2013023) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3179;152099;47.84
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2sc build/jro03l) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3174;95519;30.09
"mozilla/5.0 (iphone; cpu iphone os 7_1 like mac os x) applewebkit/537.51.2 (khtml, like gecko) version/7.0 mobile/11d167 safari/9537.53";3158;48872;15.48
"mozilla/5.0 (linux; u; android 4.2.2; zh-cn; galaxy nexus build/jdq39) applewebkit/534.30 (khtml, like gecko) version/5.0 mb2345browser/4.0 mobile safari/534.30";3141;58939;18.76
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2sc build/jro03l) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3129;86963;27.79
"mozilla/5.0 (linux; u; android 4.1.1; zh-cn; mi 2sc build/jro03l) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3127;92685;29.64
"mozilla/5.0 (linux; u; android 4.2.1; zh-cn; mi 3 build/jop40d) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3110;87205;28.04
"mozilla/5.0 (linux; u; android 4.2.2; zh-cn; 2013023 build/hm2013023) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3105;152948;49.26
"mozilla/5.0 (linux; u; android 4.2.2; zh-cn; 2013023 build/hm2013023) applewebkit/534.30 (khtml, like gecko) version/4.0 mobile safari/534.30 xiaomi/miuibrowser/1.0";3102;150983;48.67
"qqbrowser (linux; u; zh-cn; htc hero build/frf91)";3102;35189;11.34
